id;date;price;level;levels;rooms;area;kitchen_area;geo_lat;geo_lon;building_type;object_type;postal_code;street_id;id_region;house_id
221;2021-01-01;870000;9;9;2;51;9;54.0055438;86.7067081;4;0;652718;344423;42;618741
222;2021-01-01;3965000;20;23;1;30.5;13;60.030667;30.459275;0;2;195299;232807;78;1575857
223;2021-01-01;6220000;15;18;3;71;10;51.8374815;107.5791787;0;2;670000;570143;3;2446868
224;2021-01-01;5350000;7;9;2;65;12;56.0559108;92.8962619;1;2;660125;373170;24;1171299
225;2021-01-01;3550000;9;9;2;68.1;12.9;54.684059;20.571833;0;0;236034;;39;
226;2021-01-01;8200000;16;24;3;100;-100;45.1274616;38.9633307;3;2;;400564;23;927222
227;2021-01-01;4450000;1;4;-1;36;6;55.920769;37.880171;3;0;141075;582656;50;1817086
228;2021-01-01;3200000;5;17;2;43.6;0;57.5814688;39.9145764;0;0;150006;436018;76;1435982
229;2021-01-01;1650000;1;5;3;61;6;55.5337266;89.1867854;2;0;662312;;24;2077517
230;2021-01-01;2750000;4;5;1;32;6;56.011707;92.84001;0;0;660021;;24;
231;2021-01-01;1430000;1;9;1;28;0;56.585086;84.920511;4;0;636019;;70;
232;2021-01-01;7408788;17;17;1;37.11;12.92;59.966552;30.401271;1;2;195221;251072;78;2618084
233;2021-01-01;600000;2;5;1;32.8;8.4;57.1062506;61.3977824;2;0;624286;144555;66;2579079
234;2021-01-01;1200000;1;5;2;43.4;5.4;53.5261007;87.2773756;2;0;652741;353832;42;1702116
235;2021-01-01;1400000;1;2;2;50.1;4;46.352623;48.028328;4;0;414000;;30;
236;2021-01-01;4000000;10;10;3;86.96;12.96;54.9476889;82.9703743;2;2;630022;309495;54;864372
237;2021-01-01;3000000;2;2;3;56;-100;52.0399219;113.482198;4;0;672007;155021;75;1091996
238;2021-01-01;3000000;2;2;3;56;0;52.0399219;113.482198;4;0;672007;155021;75;1091996
239;2021-01-01;3300000;6;9;1;53;16;54.186146;45.165596;4;0;430005;;13;
240;2021-01-01;6750183;8;10;1;30.4;-100;59.8777956;30.4433046;4;2;192171;146825;78;1080729
241;2021-01-01;3565000;8;9;2;45;11;57.1195173;65.5243451;2;0;625062;451365;72;1562421
242;2021-01-01;3749538;9;17;1;41.34;0;55.4624497;37.700041;0;2;102321;;50;799789
243;2021-01-01;4400000;5;14;2;59;14;57.1337343;65.4956349;0;0;625018;505935;72;2177158
244;2021-01-01;4763545;25;26;2;60.67;23;56.8385216;60.6054911;0;2;620000;141737;66;2306642
245;2021-01-01;1500000;1;5;-1;31;0;55.145774;36.62569;1;0;249025;542285;40;2725373
246;2021-01-01;1580000;3;9;1;32.3;6;56.8764485;53.2767647;4;0;426053;177797;18;2102310
247;2021-01-01;6700000;3;5;2;41;5.4;55.6971281;37.8639911;4;0;140002;183874;50;2814809
